Date,Capture_Method,Location,County,Counter,Bear_ID,Body_Region,Ixodes_scapularis,Dermacenter_variabilis,Other_Adult,Non-Adults
8/1/2018,Trap,Pike Township,Clearfield,Hannah Greenberg,51366,A,0,0,0,0
8/1/2018,Trap,Pike Township,Clearfield,Hannah Greenberg,51366,B,0,0,0,0
8/1/2018,Trap,Pike Township,Clearfield,Hannah Greenberg,51366,C,0,0,0,0
8/1/2018,Trap,Pike Township,Clearfield,Hannah Greenberg,51366,D,0,0,0,0
8/1/2018,Trap,Pike Township,Clearfield,Hannah Greenberg,51366,E,0,0,0,0
8/1/2018,Trap,Pike Township,Clearfield,Hannah Greenberg,51366,F,0,0,0,0
8/1/2018,Trap,Pike Township,Clearfield,Hannah Greenberg,51366,G,0,0,0,1
8/1/2018,Trap,Pike Township,Clearfield,Hannah Greenberg,51366,H,0,0,0,1
8/1/2018,Trap,Pike Township,Clearfield,Hannah Greenberg,51366,I,0,0,0,0
8/1/2018,Trap,Pike Township,Clearfield,Hannah Greenberg,51366,J,0,0,0,1
8/1/2018,Trap,Pike Township,Clearfield,Hannah Greenberg,51366,K,0,0,0,0
8/1/2018,Trap,Pike Township,Clearfield,Hannah Greenberg,51366,L,0,0,0,0
8/1/2018,Trap,Pike Township,Clearfield,Hannah Greenberg,51366,M,0,0,0,0
8/1/2018,Trap,Pike Township,Clearfield,Hannah Greenberg,51366,N,0,0,0,1
8/1/2018,Trap,Pike Township,Clearfield,Hannah Greenberg,51366,O,0,0,0,0
8/1/2018,Trap,Pike Township,Clearfield,Hannah Greenberg,51366,P,0,0,0,1
8/10/2018,Trap,Sproul State Forest,Clinton,Hannah Greenberg,51370,A,0,0,0,0
8/10/2018,Trap,Sproul State Forest,Clinton,Hannah Greenberg,51370,B,0,0,0,0
8/10/2018,Trap,Sproul State Forest,Clinton,Hannah Greenberg,51370,C,0,0,0,0
8/10/2018,Trap,Sproul State Forest,Clinton,Hannah Greenberg,51370,D,0,0,0,0
8/10/2018,Trap,Sproul State Forest,Clinton,Hannah Greenberg,51370,E,0,0,0,4
8/10/2018,Trap,Sproul State Forest,Clinton,Hannah Greenberg,51370,F,0,0,0,0
8/10/2018,Trap,Sproul State Forest,Clinton,Hannah Greenberg,51370,G,0,0,0,0
8/10/2018,Trap,Sproul State Forest,Clinton,Hannah Greenberg,51370,H,0,0,0,1
8/10/2018,Trap,Sproul State Forest,Clinton,Hannah Greenberg,51370,I,0,0,0,1
8/10/2018,Trap,Sproul State Forest,Clinton,Hannah Greenberg,51370,J,0,0,0,4
8/10/2018,Trap,Sproul State Forest,Clinton,Hannah Greenberg,51370,K,0,0,0,0
8/10/2018,Trap,Sproul State Forest,Clinton,Hannah Greenberg,51370,L,0,0,0,9
8/10/2018,Trap,Sproul State Forest,Clinton,Hannah Greenberg,51370,M,0,0,0,3
8/10/2018,Trap,Sproul State Forest,Clinton,Hannah Greenberg,51370,N,0,0,2,3
8/10/2018,Trap,Sproul State Forest,Clinton,Hannah Greenberg,51370,O,0,0,0,0
8/10/2018,Trap,Sproul State Forest,Clinton,Hannah Greenberg,51370,P,0,0,0,3
8/10/2018,Trap,Sproul State Forest,Clinton,Hannah Greenberg,51372,A,0,0,0,0
8/10/2018,Trap,Sproul State Forest,Clinton,Hannah Greenberg,51372,B,0,0,0,0
8/10/2018,Trap,Sproul State Forest,Clinton,Hannah Greenberg,51372,C,0,0,0,0
8/10/2018,Trap,Sproul State Forest,Clinton,Hannah Greenberg,51372,D,0,0,0,0
8/10/2018,Trap,Sproul State Forest,Clinton,Hannah Greenberg,51372,E,0,0,0,0
8/10/2018,Trap,Sproul State Forest,Clinton,Hannah Greenberg,51372,F,0,0,0,0
8/10/2018,Trap,Sproul State Forest,Clinton,Hannah Greenberg,51372,G,0,0,0,0
8/10/2018,Trap,Sproul State Forest,Clinton,Hannah Greenberg,51372,H,0,0,0,0
8/10/2018,Trap,Sproul State Forest,Clinton,Hannah Greenberg,51372,I,0,0,0,0
8/10/2018,Trap,Sproul State Forest,Clinton,Hannah Greenberg,51372,J,0,0,0,7
8/10/2018,Trap,Sproul State Forest,Clinton,Hannah Greenberg,51372,K,0,0,0,0
8/10/2018,Trap,Sproul State Forest,Clinton,Hannah Greenberg,51372,L,0,0,0,0
8/10/2018,Trap,Sproul State Forest,Clinton,Hannah Greenberg,51372,M,0,0,0,0
8/10/2018,Trap,Sproul State Forest,Clinton,Hannah Greenberg,51372,N,0,0,0,0
8/10/2018,Trap,Sproul State Forest,Clinton,Hannah Greenberg,51372,O,0,0,0,0
8/10/2018,Trap,Sproul State Forest,Clinton,Hannah Greenberg,51372,P,0,0,0,1
8/11/2018,Trap,Sproul State Forest,Clinton,Hannah Greenberg,51636,A,2,0,0,0
8/11/2018,Trap,Sproul State Forest,Clinton,Hannah Greenberg,51636,B,0,0,0,0
8/11/2018,Trap,Sproul State Forest,Clinton,Hannah Greenberg,51636,C,0,0,0,0
8/11/2018,Trap,Sproul State Forest,Clinton,Hannah Greenberg,51636,D,0,0,0,0
8/11/2018,Trap,Sproul State Forest,Clinton,Hannah Greenberg,51636,E,0,0,0,0
8/11/2018,Trap,Sproul State Forest,Clinton,Hannah Greenberg,51636,F,0,0,0,0
8/11/2018,Trap,Sproul State Forest,Clinton,Hannah Greenberg,51636,G,0,0,0,0
8/11/2018,Trap,Sproul State Forest,Clinton,Hannah Greenberg,51636,H,0,0,0,0
8/11/2018,Trap,Sproul State Forest,Clinton,Hannah Greenberg,51636,I,0,0,0,0
8/11/2018,Trap,Sproul State Forest,Clinton,Hannah Greenberg,51636,J,NA,NA,NA,NA
8/11/2018,Trap,Sproul State Forest,Clinton,Hannah Greenberg,51636,K,0,0,0,0
8/11/2018,Trap,Sproul State Forest,Clinton,Hannah Greenberg,51636,L,0,0,0,0
8/11/2018,Trap,Sproul State Forest,Clinton,Hannah Greenberg,51636,M,0,0,0,0
8/11/2018,Trap,Sproul State Forest,Clinton,Hannah Greenberg,51636,N,0,0,0,2
8/11/2018,Trap,Sproul State Forest,Clinton,Hannah Greenberg,51636,O,0,0,0,0
8/11/2018,Trap,Sproul State Forest,Clinton,Hannah Greenberg,51636,P,NA,NA,NA,NA
8/13/2018,Trap,Sproul State Forest,Clinton,Erika Machtinger,51100,A,1,0,0,0
8/13/2018,Trap,Sproul State Forest,Clinton,Erika Machtinger,51100,B,0,0,0,0
8/13/2018,Trap,Sproul State Forest,Clinton,Erika Machtinger,51100,C,0,0,0,0
8/13/2018,Trap,Sproul State Forest,Clinton,Erika Machtinger,51100,D,0,0,0,0
8/13/2018,Trap,Sproul State Forest,Clinton,Erika Machtinger,51100,E,0,0,0,0
8/13/2018,Trap,Sproul State Forest,Clinton,Erika Machtinger,51100,F,0,0,0,0
8/13/2018,Trap,Sproul State Forest,Clinton,Erika Machtinger,51100,G,0,0,0,0
8/13/2018,Trap,Sproul State Forest,Clinton,Erika Machtinger,51100,H,0,0,0,0
8/13/2018,Trap,Sproul State Forest,Clinton,Erika Machtinger,51100,I,0,0,0,0
8/13/2018,Trap,Sproul State Forest,Clinton,Erika Machtinger,51100,J,1,0,0,0
8/13/2018,Trap,Sproul State Forest,Clinton,Erika Machtinger,51100,K,0,0,0,0
8/13/2018,Trap,Sproul State Forest,Clinton,Erika Machtinger,51100,L,0,0,0,0
8/13/2018,Trap,Sproul State Forest,Clinton,Erika Machtinger,51100,M,0,0,0,0
8/13/2018,Trap,Sproul State Forest,Clinton,Erika Machtinger,51100,N,0,0,0,0
8/13/2018,Trap,Sproul State Forest,Clinton,Erika Machtinger,51100,O,0,0,0,0
8/13/2018,Trap,Sproul State Forest,Clinton,Erika Machtinger,51100,P,3,0,0,0
8/13/2018,Trap,Sproul State Forest,Clinton,Erika Machtinger,33245,A,0,0,0,0
8/13/2018,Trap,Sproul State Forest,Clinton,Erika Machtinger,33245,B,0,0,0,0
8/13/2018,Trap,Sproul State Forest,Clinton,Erika Machtinger,33245,C,0,0,0,0
8/13/2018,Trap,Sproul State Forest,Clinton,Erika Machtinger,33245,D,0,0,0,0
